line_qual,Pres,T,T_err,Dust,Dust_err,H2Ovap,H2Ovap_err,H2Oice,H2Oice_err,CO2ice,CO2ice_err,Alt,Lat,Lon,Prof#
0,1.7134,154.875,0.8959999999999999,,,,,,,,,53.706,60.848,-128.498,655
0,1.512,154.433,0.968,,,,,,,,,54.724,60.883,-128.447,655
0,1.3344,154.317,1.003,,,,,,,,,55.74,60.918,-128.39700000000002,655
0,1.1776,154.582,1.091,,,,,,,,,56.758,60.95399999999999,-128.346,655
0,1.0392,155.215,1.2770000000000001,,,,,,,,,57.778999999999996,60.989,-128.295,655
0,0.9171,156.10399999999998,1.3619999999999999,,,,,,,,,58.805,61.025,-128.243,655
0,0.80934,157.088,1.268,,,,,,,,,59.839,61.06100000000001,-128.191,655
0,0.71424,158.064,1.25,,,,,,,,,60.879,61.098,-128.138,655
0,0.63031,158.988,1.4140000000000001,,,,,,,,,61.927,61.135,-128.085,655
0,0.55625,159.876,1.564,,,,,,,,,62.981,61.172,-128.031,655
0,0.49088999999999994,160.761,1.4569999999999999,,,,,,,,,64.041,61.208999999999996,-127.976,655
0,0.43321000000000004,161.661,1.365,,,,,,,,,65.109,61.247,-127.921,655
0,0.3823,162.577,1.485,,,,,,,,,66.182,61.284,-127.866,655
0,0.33738,163.46,1.75,,,,,,,,,67.263,61.323,-127.809,655
0,0.29774,164.155,1.815,,,,,,,,,68.34899999999999,61.361000000000004,-127.75200000000001,655
0,0.26275,164.49,1.814,,,,,,,,,69.439,61.4,-127.695,655
0,0.23188000000000003,164.35,1.9569999999999999,,,,,,,,,70.531,61.43899999999999,-127.637,655
0,0.20463,163.805,2.37,,,,,,,,,71.62100000000001,61.477,-127.58,655
0,0.18059,163.154,2.3890000000000002,,,,,,,,,72.708,61.516000000000005,-127.522,655
0,0.15937,162.626,2.397,,,,,,,,,73.792,61.555,-127.463,655
0,0.14064000000000002,162.317,2.628,,,,,,,,,74.873,61.593,-127.405,655
0,0.12412000000000001,162.214,2.9530000000000003,,,,,,,,,75.954,61.632,-127.34700000000001,655
0,0.10953,162.279,2.8680000000000003,,,,,,,,,77.036,61.67100000000001,-127.288,655
0,0.096661,162.518,2.6839999999999997,,,,,,,,,78.119,61.71,-127.229,655
0,0.085303,162.939,2.7769999999999997,,,,,,,,,79.205,61.748999999999995,-127.169,655
0,0.07528,163.469,3.1260000000000003,,,,,,,,,80.295,61.788000000000004,-127.109,655
0,0.066434,163.88400000000001,3.116,,,,,,,,,81.388,61.827,-127.04899999999999,655
0,0.058628,163.925,3.029,,,,,,,,,82.484,61.867,-126.988,655
0,0.051739,163.414,3.241,,,,,,,,,83.579,61.906000000000006,-126.926,655
0,0.04566,162.466,3.765,,,,,,,,,84.67,61.946000000000005,-126.865,655
0,0.040293999999999996,161.359,3.69,,,,,,,,,85.755,61.985,-126.804,655
0,0.03556,160.29,3.682,,,,,,,,,86.833,62.025,-126.743,655
