line_qual,Date,UTC,SCLK,L_s,Solar_dist,Orb_num,Gqual,Solar_lat,Solar_lon,Solar_zen,LTST,Profile_lat,Profile_lon,Profile_rad,Profile_alt,Limb_ang,Are_rad,Surf_lat,Surf_lon,Surf_rad,T_surf,T_surf_err,T_near_surf,T_near_surf_err,Dust_column,Dust_column_err,H2Ovap_column,H2Ovap_column_err,H2Oice_column,H2Oice_column_err,CO2ice_column,CO2ice_column_err,p_surf,p_surf_err,p_ret_alt,p_ret,p_ret_err,Rqual,P_qual,T_qual,Dust_qual,H2Ovap_qual,H2Oice_qual,CO2ice_qual,surf_qual,Obs_qual,Ref_SCLK_0,Ref_SCLK_1,Ref_SCLK_2,Ref_SCLK_3,Ref_SCLK_4,Ref_SCLK_5,Ref_SCLK_6,Ref_SCLK_7,Ref_SCLK_8,Ref_SCLK_9,Ref_Date_0,Ref_UTC_0,Ref_Date_1,Ref_UTC_1,Ref_Date_2,Ref_UTC_2,Ref_Date_3,Ref_UTC_3,Ref_Date_4,Ref_UTC_4,Ref_Date_5,Ref_UTC_5,Ref_Date_6,Ref_UTC_6,Ref_Date_7,Ref_UTC_7,Ref_Date_8,Ref_UTC_8,Ref_Date_9,Ref_UTC_9,Prof#,Orb_Prof
0,01-Jul-2015,01:04:14.555,1120179895.516,6.19067,235288794.31,41845,0,2.631,-76.8968,123.34241,0.086797,-53.08671,134.34995,3424.69,38.23,0.4096,3384.74,-53.09396,134.87302,3386.48,163.374,0.041,205.435,0.241,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.0,86.5324,1.317,0,0,0,2,9,2,9,-9999,0,1120179891.42,1120179893.468,1120179895.516,1120179897.564,1120179899.612,1120180088.027,1120180085.979,-9999,-9999,-9999,01-Jul-2015,01:04:10.459,01-Jul-2015,01:04:12.507,01-Jul-2015,01:04:14.555,01-Jul-2015,01:04:16.603,01-Jul-2015,01:04:18.651,01-Jul-2015,01:07:27.066,01-Jul-2015,01:07:25.018,,,,,,,80,6
0,01-Jul-2015,01:06:31.770,1120180032.731,6.19145,235289075.14,41845,0,2.631,-77.45338,117.79979,0.082901,-60.51862,132.39084,3420.764,37.644,0.4008,3382.7,-60.46796,133.12602,3383.473,157.139,0.043,203.137,1.541,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.0,95.2726,1.7038,0,0,0,2,9,2,9,-9999,0,1120180028.635,1120180030.683,1120180032.731,1120180034.779,1120180036.827,1120180225.242,1120180223.194,-9999,-9999,-9999,01-Jul-2015,01:06:27.674,01-Jul-2015,01:06:29.722,01-Jul-2015,01:06:31.770,01-Jul-2015,01:06:33.818,01-Jul-2015,01:06:35.866,01-Jul-2015,01:09:44.281,01-Jul-2015,01:09:42.233,,,,,,,83,9
0,01-Jul-2015,01:07:41.402,1120180102.363,6.19185,235289218.614,41845,0,2.632,-77.73579,114.9632,0.080285,-64.19334,131.16673,3421.13,37.83,0.402,3381.76,-64.35901,132.05701,3383.185,151.434,0.064,193.208,3.743,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.0,78.0939,1.1346,0,0,0,2,9,2,9,-9999,0,1120180098.267,1120180100.315,1120180102.363,1120180104.411,1120180106.459,1120180327.641,-9999.0,-9999,-9999,-9999,01-Jul-2015,01:07:37.306,01-Jul-2015,01:07:39.354,01-Jul-2015,01:07:41.402,01-Jul-2015,01:07:43.450,01-Jul-2015,01:07:45.498,01-Jul-2015,01:11:26.680,,,,,,,,,85,11
0,01-Jul-2015,01:08:48.985,1120180169.946,6.19223,235289355.968,41845,0,2.632,-78.00999,112.09859,0.076807,-67.84547,129.64049,3419.64,37.92,0.4016,3380.94,-66.30694,131.27005,3383.504,151.663,0.045,197.528,0.356,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.0,88.3866,1.0523,0,0,0,2,9,2,9,-9999,0,1120180165.85,1120180167.898,1120180169.946,1120180171.994,1120180174.042,1120180333.785,1120180331.737,-9999,-9999,-9999,01-Jul-2015,01:08:44.889,01-Jul-2015,01:08:46.937,01-Jul-2015,01:08:48.985,01-Jul-2015,01:08:51.033,01-Jul-2015,01:08:53.081,01-Jul-2015,01:11:32.824,01-Jul-2015,01:11:30.776,,,,,,,86,12
0,01-Jul-2015,02:55:37.137,1120186578.098,6.22855,235302491.048,41846,0,2.647,-104.00219,125.3334,0.08772,-50.37275,107.57691,3422.911,35.391,0.4114,3385.68,-50.19447,108.08752,3387.097,161.292,0.042,203.564,1.44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999.0,-9999.0,-9999.0,0,9,0,2,9,2,9,-9999,0,1120186574.002,1120186576.05,1120186578.098,1120186580.146,1120186582.194,1120186770.609,1120186768.561,-9999,-9999,-9999,01-Jul-2015,02:55:33.041,01-Jul-2015,02:55:35.089,01-Jul-2015,02:55:37.137,01-Jul-2015,02:55:39.185,01-Jul-2015,02:55:41.233,01-Jul-2015,02:58:49.648,01-Jul-2015,02:58:47.600,,,,,,,253,16
0,01-Jul-2015,02:56:46.768,1120186647.73,6.22894,235302632.461,41846,0,2.647,-104.28459,122.6766,0.08621,-54.0487,106.75095,3422.784,36.944,0.4092,3384.6,-53.87397,107.33701,3386.558,163.525,0.041,200.081,2.035,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.0,64.3582,0.5256,0,0,0,2,9,2,9,-9999,0,1120186643.634,1120186645.682,1120186647.73,1120186649.778,1120186651.826,1120186838.193,1120186836.145,-9999,-9999,-9999,01-Jul-2015,02:56:42.672,01-Jul-2015,02:56:44.720,01-Jul-2015,02:56:46.768,01-Jul-2015,02:56:48.816,01-Jul-2015,02:56:50.864,01-Jul-2015,02:59:57.231,01-Jul-2015,02:59:55.183,,,,,,,255,18
0,01-Jul-2015,02:59:03.982,1120186784.945,6.22971,235302913.202,41846,0,2.648,-104.84119,117.164,0.082171,-61.3894,104.74045,3420.951,36.431,0.4004,3382.56,-61.25094,105.51803,3385.092,155.251,0.044,196.369,2.061,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.0,90.8175,0.9511,0,0,0,2,9,2,9,-9999,0,1120186780.849,1120186782.897,1120186784.945,1120186786.993,1120186789.041,1120186975.408,1120186973.36,-9999,-9999,-9999,01-Jul-2015,02:58:59.888,01-Jul-2015,02:59:01.935,01-Jul-2015,02:59:03.983,01-Jul-2015,02:59:06.031,01-Jul-2015,02:59:08.079,01-Jul-2015,03:02:14.446,01-Jul-2015,03:02:12.398,,,,,,,258,21
0,01-Jul-2015,03:00:11.567,1120186852.529,6.2301,235303052.531,41846,0,2.648,-105.11539,114.3326,0.079304,-65.04914,103.43397,3419.252,35.332,0.4008,3381.64,-65.05194,104.31404,3383.562,157.155,0.043,186.466,1.546,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.0,111.2302,3.3601,0,0,0,2,9,2,9,-9999,0,1120186848.433,1120186850.481,1120186852.529,1120186854.577,1120186856.625,1120187045.039,1120187042.991,-9999,-9999,-9999,01-Jul-2015,03:00:07.471,01-Jul-2015,03:00:09.519,01-Jul-2015,03:00:11.567,01-Jul-2015,03:00:13.615,01-Jul-2015,03:00:15.663,01-Jul-2015,03:03:24.078,01-Jul-2015,03:03:22.030,,,,,,,260,23
0,01-Jul-2015,03:01:21.198,1120186922.16,6.2305,235303195.96,41846,0,2.648,-105.39758,111.3672,0.075375,-68.81424,101.73737,3417.655,34.995,0.4008,3380.78,-69.82436,102.40991,3382.661,147.135,0.047,184.507,2.609,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.0,108.7279,2.064,0,0,0,2,9,2,9,-9999,0,1120186918.064,1120186920.112,1120186922.16,1120186924.208,1120186926.256,1120187147.439,1120187151.535,-9999,-9999,-9999,01-Jul-2015,03:01:17.103,01-Jul-2015,03:01:19.151,01-Jul-2015,03:01:21.199,01-Jul-2015,03:01:23.247,01-Jul-2015,03:01:25.295,01-Jul-2015,03:05:06.477,01-Jul-2015,03:05:10.573,,,,,,,262,25
0,01-Jul-2015,04:48:21.639,1120193342.601,6.26687,235316349.485,41847,0,2.663,-131.43959,124.14319,0.086929,-52.07692,79.85492,3422.817,42.977,0.41,3385.08,-51.87547,80.40551,3379.419,167.593,0.045,-9999.0,-9999.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.0,50.1223,0.8653,0,0,1,2,9,2,9,-9999,0,1120193338.505,1120193340.553,1120193342.601,1120193344.649,1120193346.697,1120193533.064,1120193531.016,-9999,-9999,-9999,01-Jul-2015,04:48:17.543,01-Jul-2015,04:48:19.592,01-Jul-2015,04:48:21.639,01-Jul-2015,04:48:23.688,01-Jul-2015,04:48:25.734,01-Jul-2015,04:51:32.102,01-Jul-2015,04:51:30.055,,,,,,,414,14
